MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
48622;0.182970;0.000672;0.168781;0.000345;-0.1251688;0.0000207;1.8335;0.0201;-0.086;0.202;0.130;0.165;.182400;.167900;-.1253000;0.129;-0.653
48623;0.180597;0.000672;0.166782;0.000345;-0.1269580;0.0000203;1.7556;0.0144;-0.027;0.202;0.128;0.165;.180300;.165900;-.1270800;0.155;-0.575
48624;0.178166;0.000672;0.164810;0.000345;-0.1287025;0.0000200;1.7450;0.0107;0.014;0.274;0.154;0.298;.178200;.163900;-.1288200;0.135;-0.478
48625;0.175804;0.000264;0.162840;0.000341;-0.1304697;0.0000070;1.7995;0.0105;0.032;0.210;0.205;0.298;.175700;.161600;-.1305800;-0.006;-0.229
48626;0.173511;0.000192;0.160867;0.000246;-0.1323195;0.0000063;1.9081;0.0045;0.026;0.210;0.265;0.298;.173500;.159600;-.1324300;-0.100;-0.226
48627;0.171254;0.000200;0.158887;0.000246;-0.1342986;0.0000055;2.0548;0.0044;0.009;0.189;0.301;0.298;.171100;.157800;-.1344200;-0.174;-0.453
48628;0.168998;0.000169;0.156904;0.000254;-0.1364353;0.0000061;2.2201;0.0041;0.002;0.096;0.282;0.298;.168700;.156000;-.1365600;-0.229;-0.657
48629;0.166668;0.000169;0.154968;0.000254;-0.1387373;0.0000061;2.3807;0.0044;0.013;0.078;0.222;0.107;.166200;.154200;-.1388600;-0.255;-0.711
48630;0.164128;0.000172;0.153219;0.000254;-0.1411890;0.0000063;2.5180;0.0059;0.042;0.078;0.241;0.107;.163600;.152600;-.1413200;-0.169;-0.647
48631;0.161407;0.000185;0.151639;0.000220;-0.1437619;0.0000102;2.6210;0.0053;0.096;0.315;0.314;0.134;.160900;.151000;-.1439000;-0.108;-0.587
48632;0.158590;0.000149;0.150170;0.000208;-0.1464140;0.0000085;2.6729;0.0085;0.172;0.066;0.312;0.121;.158100;.149500;-.1465400;-0.087;-0.561
48633;0.155697;0.000357;0.148774;0.000334;-0.1490865;0.0000135;2.6613;0.0082;0.248;0.073;0.225;0.123;.155300;.148100;-.1491800;-0.085;-0.485
48634;0.152747;0.000365;0.147419;0.000339;-0.1517153;0.0000141;2.5859;0.0101;0.294;0.121;0.133;0.115;.152300;.146700;-.1518000;-0.041;-0.340
48635;0.149769;0.000359;0.146063;0.000332;-0.1542400;0.0000151;2.4555;0.0101;0.282;0.146;0.125;0.298;.149300;.145400;-.1543000;0.027;-0.178
48636;0.146780;0.000366;0.144697;0.000263;-0.1566207;0.0000145;2.3083;0.0098;0.201;0.147;0.193;0.133;.146200;.144200;-.1566900;0.135;-0.334
48637;0.143771;0.000366;0.143394;0.000263;-0.1588674;0.0000126;2.1937;0.0103;0.091;0.136;0.177;0.125;.143100;.142900;-.1589500;0.210;-0.566
48638;0.140660;0.000403;0.142169;0.000248;-0.1610333;0.0000147;2.1548;0.0086;-0.002;0.150;0.116;0.134;.139900;.141700;-.1611400;0.225;-0.558
48639;0.137351;0.000298;0.141020;0.000326;-0.1632161;0.0000117;2.2332;0.0085;-0.075;0.167;0.095;0.123;.136700;.140500;-.1633600;0.124;-0.240
48640;0.133819;0.000193;0.139922;0.000287;-0.1655405;0.0000086;2.4339;0.0069;-0.142;0.191;0.075;0.125;.133500;.139300;-.1657200;-0.096;-0.028
48641;0.130226;0.000191;0.138795;0.000286;-0.1681102;0.0000075;2.7136;0.0057;-0.187;0.185;0.023;0.135;.130300;.138000;-.1683300;-0.332;-0.004
48642;0.126779;0.000203;0.137541;0.000282;-0.1709677;0.0000076;2.9935;0.0056;-0.182;0.196;0.014;0.113;.127200;.136700;-.1712100;-0.452;-0.247
48643;0.123639;0.000164;0.136147;0.000333;-0.1740621;0.0000084;3.1682;0.0057;-0.127;0.183;0.101;0.122;.124100;.135400;-.1742900;-0.444;-0.380
48644;0.120844;0.000164;0.134765;0.000333;-0.1772519;0.0000084;3.1864;0.0060;-0.090;0.183;0.182;0.122;.121000;.134000;-.1774700;-0.430;-0.393
48645;0.118245;0.000176;0.133439;0.000294;-0.1803886;0.0000086;3.0656;0.0070;-0.089;0.174;0.204;0.132;.118000;.132700;-.1805900;-0.392;-0.499
